CMB Prior Information for Light Relics

Parameter ordering: 
omega_b, omega_cdm, n_s, A_s, tau_reio, h, T_ncdm[gamma]


bin#                    relic mass [eV]
-------                 ------------
bin1                    0.001
bin2                    0.01
bin3                    0.1
bin4                    1.25199024e-01
bin5                    1.56747957e-01
bin6                    1.96246914e-01
bin7                    2.45699221e-01
bin8                    3.07613028e-01
bin9                    3.85128511e-01
bin10                   4.82177138e-01
bin11                   6.03681074e-01
bin12                   7.55802815e-01
bin13                   9.46257752e-01
bin14                   1.18470547e+00
bin15                   1.48323970e+00
bin16                   1.85700163e+00
bin17                   2.32494793e+00
bin18                   2.91081213e+00
bin19                   3.64430839e+00
bin20                   4.56263855e+00
bin21                   5.71237896e+00
bin22                   7.15184273e+00
bin23                   8.95403733e+00
bin24                   1.12103674e+01
bin25                   1.40352706e+01
bin26                   22.0
